date,distributor_id,distributor_name,product_id,product_name,ideal_temp_f,actual_temp_f,breach,breach_severity
1/1/2024,D001,Green Valley Produce,P001,Leafy Greens,34,36,NO,OK
1/1/2024,D001,Green Valley Produce,P002,Whole Milk,38,40.4,NO,OK
1/1/2024,D001,Green Valley Produce,P003,Ground Beef,32,33.5,NO,OK
1/1/2024,D001,Green Valley Produce,P004,Tomatoes,50,52.5,NO,OK
1/1/2024,D001,Green Valley Produce,P005,Cheddar Cheese,38,40.5,NO,OK
1/1/2024,D001,Green Valley Produce,P006,Chicken Breast,32,34.8,NO,OK
1/1/2024,D002,Fresh Coast Foods,P001,Leafy Greens,34,47,YES,HIGH
1/1/2024,D002,Fresh Coast Foods,P002,Whole Milk,38,44.3,YES,MEDIUM
1/1/2024,D002,Fresh Coast Foods,P003,Ground Beef,32,32.6,NO,OK
1/1/2024,D002,Fresh Coast Foods,P004,Tomatoes,50,49.3,NO,OK
1/1/2024,D002,Fresh Coast Foods,P005,Cheddar Cheese,38,40,NO,OK
1/1/2024,D002,Fresh Coast Foods,P006,Chicken Breast,32,31.8,NO,OK
1/1/2024,D003,Heartland Meats,P001,Leafy Greens,34,36.4,NO,OK
1/1/2024,D003,Heartland Meats,P002,Whole Milk,38,45.5,YES,MEDIUM
1/1/2024,D003,Heartland Meats,P003,Ground Beef,32,32,NO,OK
1/1/2024,D003,Heartland Meats,P004,Tomatoes,50,61.4,YES,HIGH
1/1/2024,D003,Heartland Meats,P005,Cheddar Cheese,38,37.2,NO,OK
1/1/2024,D003,Heartland Meats,P006,Chicken Breast,32,35,NO,OK
1/1/2024,D004,Southwest Organics,P001,Leafy Greens,34,35.6,NO,OK
1/1/2024,D004,Southwest Organics,P002,Whole Milk,38,49.4,YES,HIGH
1/1/2024,D004,Southwest Organics,P003,Ground Beef,32,31.8,NO,OK
1/1/2024,D004,Southwest Organics,P004,Tomatoes,50,52.8,NO,OK
1/1/2024,D004,Southwest Organics,P005,Cheddar Cheese,38,39.7,NO,OK
1/1/2024,D004,Southwest Organics,P006,Chicken Breast,32,32.1,NO,OK
1/1/2024,D005,Great Lakes Dairy,P001,Leafy Greens,34,41.5,YES,MEDIUM
1/1/2024,D005,Great Lakes Dairy,P002,Whole Milk,38,38.3,NO,OK
1/1/2024,D005,Great Lakes Dairy,P003,Ground Beef,32,33.8,NO,OK
1/1/2024,D005,Great Lakes Dairy,P004,Tomatoes,50,60.5,YES,HIGH
1/1/2024,D005,Great Lakes Dairy,P005,Cheddar Cheese,38,40.8,NO,OK
1/1/2024,D005,Great Lakes Dairy,P006,Chicken Breast,32,40.5,YES,MEDIUM
1/2/2024,D001,Green Valley Produce,P001,Leafy Greens,34,35.8,NO,OK
1/2/2024,D001,Green Valley Produce,P002,Whole Milk,38,38.1,NO,OK
1/2/2024,D001,Green Valley Produce,P003,Ground Beef,32,33.7,NO,OK
1/2/2024,D001,Green Valley Produce,P004,Tomatoes,50,50.9,NO,OK
1/2/2024,D001,Green Valley Produce,P005,Cheddar Cheese,38,40.1,NO,OK
1/2/2024,D001,Green Valley Produce,P006,Chicken Breast,32,31.4,NO,OK
